DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_COUNTRY,DEST_COUNTRY_NAME,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0,18,1655907,4536,2888,178941,0,4278,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,11618,1161802,31703,EWR,"Newark, NJ",US,United States,21,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,8,887,1,2018,1,1,9,F
0,25,2315403,6300,4586,344318,0,4267,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,12478,1247805,31703,JFK,"New York, NY",US,United States,22,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,8,887,1,2018,1,1,9,F
0,4,275614,1008,899,28585,0,4740,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,12789,1278902,32789,KRK,"Krakow, Poland",PL,Poland,467,13930,1393006,30977,ORD,"Chicago, IL",US,United States,41,8,887,1,2018,1,1,10,F
0,18,1552133,4536,2717,72149,0,6016,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,12892,1289208,32575,LAX,"Los Angeles, CA",US,United States,91,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,8,887,1,2018,1,1,13,F
0,4,370291,1008,670,30285,0,4740,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,13930,1393006,30977,ORD,"Chicago, IL",US,United States,41,12789,1278902,32789,KRK,"Krakow, Poland",PL,Poland,467,8,887,1,2018,1,1,10,F
0,26,2391242,6552,4880,381889,0,4685,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,13930,1393006,30977,ORD,"Chicago, IL",US,United States,41,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,8,887,1,2018,1,1,10,F
0,18,1549671,4536,3541,245975,0,4278,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,11618,1161802,31703,EWR,"Newark, NJ",US,United States,21,8,887,1,2018,1,1,9,F
0,25,2083862,6300,5332,433717,0,4267,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,12478,1247805,31703,JFK,"New York, NY",US,United States,22,8,887,1,2018,1,1,9,F
0,18,1439350,4536,3472,243467,0,6016,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,12892,1289208,32575,LAX,"Los Angeles, CA",US,United States,91,8,887,1,2018,1,1,13,F
0,26,2333509,6552,5632,421692,0,4685,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,13930,1393006,30977,ORD,"Chicago, IL",US,United States,41,8,887,1,2018,1,1,10,F
0,13,1295422,3276,2008,164793,0,4278,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,11618,1161802,31703,EWR,"Newark, NJ",US,United States,21,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,8,887,1,2018,1,2,9,F
0,23,2130480,5796,3806,334015,0,4267,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,12478,1247805,31703,JFK,"New York, NY",US,United States,22,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,8,887,1,2018,1,2,9,F
0,4,294219,1008,803,22048,0,4740,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,12789,1278902,32789,KRK,"Krakow, Poland",PL,Poland,467,13930,1393006,30977,ORD,"Chicago, IL",US,United States,41,8,887,1,2018,1,2,10,F
0,15,1362792,3780,1790,146949,0,6016,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,12892,1289208,32575,LAX,"Los Angeles, CA",US,United States,91,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,8,887,1,2018,1,2,13,F
0,4,370223,1008,636,50728,0,4740,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,13930,1393006,30977,ORD,"Chicago, IL",US,United States,41,12789,1278902,32789,KRK,"Krakow, Poland",PL,Poland,467,8,887,1,2018,1,2,10,F
0,24,2189596,6048,4253,458260,0,4685,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,13930,1393006,30977,ORD,"Chicago, IL",US,United States,41,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,8,887,1,2018,1,2,10,F
0,13,1180298,3276,2090,209977,0,4278,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,11618,1161802,31703,EWR,"Newark, NJ",US,United States,21,8,887,1,2018,1,2,9,F
0,23,1917432,5796,4095,443377,0,4267,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,12478,1247805,31703,JFK,"New York, NY",US,United States,22,8,887,1,2018,1,2,9,F
0,15,1349150,3780,1961,255666,0,6016,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,12892,1289208,32575,LAX,"Los Angeles, CA",US,United States,91,8,887,1,2018,1,2,13,F
0,24,2195939,6048,4289,497251,0,4685,0,0,LO,19555,Polskie Linie Lotnicze,9467A,I,LO,Polskie Linie Lotnicze,0,0,15718,1571802,35718,WAW,"Warsaw, Poland",PL,Poland,467,13930,1393006,30977,ORD,"Chicago, IL",US,United States,41,8,887,1,2018,1,2,10,F